Id,LazyTitle,Name,Description,Category,ImageId
1,Start ,Beginn,Anfang,Gewerbe,DSC07480.JPG
2,Einfamilienhäuser ,Einfamilienhäuser,Vermutlich Eigenheimbesitzer,Bebauung ,DSC07482.JPG
3,Verkehr ,Verkehr,Autoverkehr ,Verkehrswege,DSC07483.JPG
4,Neue Fahrradwege ,Neue Fahrradwege,Rote Radwege,Verkehrswege,DSC07484.JPG
5,Bonsenhaus,Einfamilienhaus ,Besonderes Gebäude,Bebauung,DSC07485.JPG
6,Edekaauto,Firmenwagen,Altes Modell steht vor einem Einfamilienhaus ,Besonderheiten,DSC07486.JPG
7,Photovoltaik,Photovoltaik-Platten,Nur auf Einfamilienhäusern,Besonderheiten,DSC07487.JPG
8,Solar,Solar-Platten,Nur auf Einfamilienhäusern,Besonderheiten ,DSC07488.JPG
9,Der Elbbäcker ,Elbbäcker,1.Filiale,Gewerbe,DSC07489.JPG
10,Schuhsammelstelle,Schuhcontainer,Schuhcontainer,Infrastruktur,DSC07490.JPG
11,Rohstoffsammelstelle,Recycling Sammelbehälter,"6 Sammelbehälter/Glas, Kleidung, Papier",Infrastruktur,DSC07491.JPG
12,Postkasten,Postkasten ,Postkasten,Infrastruktur,DSC07492.JPG
13,Parkplätze ,Parkplätze,Parkplätze vor Mehrfamilienhäusern,Infrastruktur,DSC07494.JPG
14,Bushaltestelle ,Bushaltestelle,Bushaltestelle ohne Wetterschutz,Infrastruktur,DSC07493.JPG
15,Friseur,Friseur ,Dreamcut II,Gewerbe ,DSC07495.JPG
16,Schlecker ,Drogerie ,steht leer,Gewerbe ,DSC07496.JPG
17,Sparkasse/VR Bank ,Geldinstitut 1,1. Filiale,Gewerbe ,DSC07497.JPG
18,Immobilienwerbung,Immobilienwerbung,Bilder der zum Verkauf stehenden Häuser und Wohnungen im Schaufenster der Spaka/VR,Gewerbe ,DSC07498.JPG
19,Lopacinski,Tief-und Straßenbau,Werbetafel,Gewerbe ,DSC07499.JPG
20,Standortwerbung,Standortwerbung,Karte über Verteilung von VR-Filialen in Holstein,Gewerbe ,DSC07500.JPG
21,Photovoltaik ,Photovolatatk-Platten 2,nur auf Einfamilienhäusern,Besonderheiten ,DSC07501.JPG
22,Die Continentale,Die Continetale,Versicherung,Gewerbe ,DSC07502.JPG
23,Wärmetechnik nord,Wärmetechnik nord,Werbeschild am Zaun,Gewerbe ,DSC07503.JPG
24,HSV Haus ,Einfamilienhaus,Auffällig mit HSV - Emblemen versehen,Bebauung ,DSC07504.JPG
25,Physiotime,Physiotherapiepraxis,Anzeigeschild im Vorgarten,Gesundheitseinrichtungen,DSC07505.JPG
26,Gebäudekomplex,Mehrfamilienhaus,Vermutlich Mietwohnungen,Bebauung ,DSC07506.JPG
27,Wohnblockhäuser,Mehrfamilienhaus,Vermutlich Mietwohnungen ,Bebauung ,DSC07509.JPG
28,Kirche,Kirche,moderne Architektur,Besonderheiten ,DSC07507.JPG
29,Kindertagesstätte ,Kindertagesstätte,bunter Eingangsbereich,Infrastruktur ,DSC07508.JPG
30,Bushaltestelle ,Bushaltestelle,mit Regenschutz,Infrastruktur ,DSC07510.JPG
31,Parkplatz ,Parkplatz,"für die umliegenden Wohnblocks, auch mietbare",Infrastruktur ,DSC07511.JPG DSC07512.JPG
32,Thomas-Mann-Straße ,Thomas-Mann-Straße,Straßenschild mit Kurzinfo über T. Mann,Straßennamen,DSC07513.JPG
33,Ärtzehaus,Ärztehaus,11 namentlich genannte Fachärzte,Gesundheitseinrichtungen,DSC07514.JPG
34,Apotheke ,Apotheke,Apotheke,Gewerbe ,DSC07515.JPG
35,Leerstehendes Gebäude ,leerstehende Gewerbefläche,leerstehendes Gewerbefläche,Gewerbe ,DSC07516.JPG
36,Der Fußspezialist,Der Fußspezialist,Fußpflege,Gesundheitseinrichtungen ,DSC07517.JPG
37,Haarstudio manuel,Friseur,1. Filiale,Gewerbe ,DSC07519.JPG
38,Weihnachtsbeleuchtung,Friseur,ist in der 1. Filiale von manuel,Gewerbe ,DSC07518.JPG
39,Zweit Haarstudio Manuel ,Friseur,2. Filiale,Gewerbe ,DSC07520.JPG
40,Netto,Netto,Supermarkt ,Gewerbe ,DSC07521.JPG DSC07522.JPG
41,Geschäfte an der Kreuzung ,Elbbäcker 2,2.Filiale,Gewerbe ,DSC07523.JPG
42,Peter Kölln,Kölln Flocken,"Fabrik, Hersteller für Frühstückscerealien",Fabrikgebäude,DSC07524.JPG
43,Physiocheck,Physiotherapiepraxis,Physiotherapiepraxis,Gesundheitseinrichtungen ,DSC07525.JPG
44,Mein Elbbäcker ,Elbbäcker 3,3.Filiale,Gewerbe ,DSC07527.JPG
45,Kfz-Service,Autoservice,Autoservice Mueller,Gewerbe ,DSC07526.JPG DSC07528.JPG
46,Baustelle ,Leerfläche,umzäunter Sandplatz,Stadt im Umbruch ,DSC07529.JPG
47,Wohnkomplex in Arbeit ,Wohnkomplex in Arbeit,"Baustelle, vermutlich Entstehung eines Wohnkomplexes",Stadt im Umbruch ,DSC07530.JPG
48,Car Wash ,Autowaschanlage,Autowaschanlage,Gewerbe ,DSC07531.JPG
49,Bauvorhaben ,Bauvorhaben,Anzeigetafel über den Rückbau von 2 Gebäuden,Stadt im Umbruch ,DSC07532.JPG
50,Leerstehendes Gebäude ,Fabrikgebäude,leerstehendes Gebäude,Stadt im Umbruch ,DSC07533.JPG
51,Kranhaus,Kulturzentrum,"Hinweisplakat für Kommunikation, Kunst und Kultur im Kranhaus",Stadt im Umbruch ,DSC07534.JPG
52,M,Mehrfamilienhaus,"Hinweisschild für Stadtumbau, neues Leben im alten Denkmal",Bebauung ,DSC07535.JPG
53,Parkplatz ,Parkplatz,Parkplatz auf Freifläche,Infrastruktur ,DSC07537.JPG
54,Baustelle ,Baustelle,Hohe Kräne für Baustelle,Stadt im Umbruch ,DSC07536.JPG
55, Peter Kölln,Kölln Flocken,"Fabrik, Hersteller für Frühstückscerealien",Fabrikgebäude,DSC07538.JPG
56,Kein Winterdienst ,kein Winterdienst,"Hinweisschild für Stadtumbau, neues Leben im alten Denkmal",Infrastruktur ,DSC07539.JPG
57,Orlen Deutschland ,Orlen Deutschland,Werbung für Trikothersteller an der Bushaltestelle,Gewerbe ,DSC07540.JPG
58,Wohnkomplex ,Hochhaus,vermutlich Mietwohnungen,Bebauung ,DSC07541.JPG
59,Sparkasse/VR Bank ,Geldinstitut 2,2. Filiale,Gewerbe ,DSC07542.JPG
60,Krückau,Fluss,Hinweisschild auf der Brücke über den Fluss,Besonderheiten ,DSC07543.JPG
61,E-Scouter,E-Scouter,Fortbewegungsmittel ,Infrastruktur,DSC07546.JPG DSC07547.JPG
62,Weihnachtsbeleuchtung,Fußgängerzone,Weihnachtsbeleuchtung über der Fußgängerzone,Verkehrswege,DSC07548.JPG
63,O2-Shop,O2-Shop,Werbung Black Weeks,Gewerbe,DSC07549.JPG
64,Immobilien ,Immobilienwerbung,"GG, Aushang der Bilder von Häusern und Wohnungen",Gewerbe ,DSC07550.JPG
65,viele kleine Geschäfte,viele kleine Geschäfte,"Haarstudio, Gastroshops und Arko",Gewerbe ,DSC07551.JPG DSC07552.JPG DSC07553.JPG
66,DGB ,Gewerkschaft,DGB,Gewerbe ,DSC07554.JPG
67,Commerzbank ,Geldinstitut 3,1. Filiale,Gewerbe ,DSC07555.JPG
68,Ver.di,Gewerkschaft,im Gewerkschaftshaus,Gewerbe ,DSC07556.JPG
69,Gewerkschaften ,Gewerkschaftshaus,"DGD,BAU,GEW,ver.di, DGB Rechtsschutz",Gewerbe ,DSC07556.JPG
70,Alte Gebäude ,Wohn-Gewerbegebäude,"ältere Architektur, im Erdgeschoss Gewerbebetriebe",Bebauung ,DSC07557.JPG
71,Parkplatz,Parkplatz 2,Parkplätze vor dem Bahnhof,Infrastruktur,DSC07558.JPG
72,Bahnhof ,Bahnhof,"Hbf Elmshorn, Gebäude",Infrastruktur,DSC07559.JPG
